round_id,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,player_0_coins,player_1_coins,player_2_coins,player_3_coins,game_id,active_player,action_type,camel,ev,trap_type,trap_location,player_1_trap_location,player_1_trap_type,distance,bet_type,player_2_trap_location,player_2_trap_type,player_0_trap_location,player_0_trap_type,player_3_trap_location,player_3_trap_type
62,7,1,True,5,0,False,4,0,False,7,0,False,5,1,True,10,20,4,7,60,1.0,move_camel,c_2,0.75,,,6.0,-1.0,2.0,,11.0,1.0,3.0,-1.0,9.0,1.0
63,7,1,True,5,0,False,4,0,False,7,0,False,5,1,True,10,20,4,7,60,2.0,round_winner_bet,c_4,0.806,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,9.0,1.0
64,10,0,False,5,0,False,4,0,False,7,0,False,5,1,True,10,20,4,8,60,3.0,move_camel,c_0,0.75,,,6.0,-1.0,3.0,,11.0,1.0,3.0,-1.0,9.0,1.0
65,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,0.0,move_camel,c_4,0.75,,,6.0,-1.0,0.0,,11.0,1.0,3.0,-1.0,9.0,1.0
66,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,1.0,round_winner_bet,c_0,3.2479999999999998,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,9.0,1.0
67,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,2.0,round_winner_bet,c_0,1.9499999999999997,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,9.0,1.0
68,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,3.0,round_winner_bet,c_0,1.2699999999999998,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,9.0,1.0
69,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,0.0,round_winner_bet,c_3,0.8699999999999999,,,6.0,-1.0,,,11.0,1.0,3.0,-1.0,9.0,1.0
70,10,0,True,5,1,True,4,0,True,7,0,True,5,0,True,11,25,4,15,60,1.0,game_bet,c_4,0.9149999999999998,,,6.0,-1.0,,lose,11.0,1.0,3.0,-1.0,9.0,1.0
71,10,0,True,5,1,True,5,2,False,7,0,True,5,0,True,11,25,5,15,60,2.0,move_camel,c_2,0.75,,,6.0,-1.0,1.0,,11.0,1.0,3.0,-1.0,9.0,1.0
72,10,0,True,5,1,True,5,2,False,7,0,True,5,0,True,11,25,5,15,60,3.0,move_trap,,0.9560000000000031,-1.0,8.0,6.0,-1.0,,,11.0,1.0,3.0,-1.0,8.0,-1.0
73,10,0,True,5,1,True,5,2,False,7,0,True,5,0,True,11,25,5,15,60,0.0,game_bet,c_4,2.18625,,,6.0,-1.0,,lose,11.0,1.0,3.0,-1.0,8.0,-1.0
