game_id,turn_id,round_number,player_id,action_type,coin_before,coin_after,coin_delta,player_final_coins,player_won_game,payout,camel,trap_type,trap_location,distance,bet_type,game_bet_key
0,1,1,0,round_winner_bet,2,2,0,22,False,-1,c_3,,,,,
0,2,1,1,move_trap,2,2,0,20,False,0,,-1.0,3.0,,,
0,3,1,2,round_winner_bet,2,2,0,35,True,0,c_1,,,,,
0,4,1,3,move_camel,2,3,1,34,False,1,c_3,,,2.0,,
0,5,1,0,round_winner_bet,2,2,0,22,False,5,c_4,,,,,
0,6,1,1,move_camel,3,4,1,20,False,1,c_1,,,3.0,,
0,7,1,2,round_winner_bet,2,2,0,35,True,1,c_1,,,,,
0,8,1,3,round_winner_bet,3,3,0,34,False,1,c_1,,,,,
0,9,1,0,move_camel,2,3,1,22,False,1,c_4,,,3.0,,
0,10,1,1,round_winner_bet,4,4,0,20,False,3,c_4,,,,,
0,11,1,2,round_winner_bet,2,2,0,35,True,2,c_4,,,,,
0,12,1,3,move_trap,3,3,0,34,False,0,,-1.0,1.0,,,
0,13,1,0,game_bet,3,3,0,22,False,0,c_2,,,,lose,"('lose', 'c_2')"
0,14,1,1,game_bet,4,4,0,20,False,-1,c_2,,,,lose,"('lose', 'c_2')"
0,15,1,2,game_bet,2,2,0,35,True,-1,c_2,,,,lose,"('lose', 'c_2')"
0,16,1,3,game_bet,3,3,0,34,False,-1,c_2,,,,lose,"('lose', 'c_2')"
0,17,1,0,game_bet,3,3,0,22,False,8,c_1,,,,win,"('win', 'c_1')"
0,18,1,1,move_camel,4,5,1,20,False,1,c_0,,,0.0,,
0,19,1,2,game_bet,2,2,0,35,True,8,c_0,,,,lose,"('lose', 'c_0')"
0,20,1,3,game_bet,4,4,0,34,False,5,c_0,,,,lose,"('lose', 'c_0')"
0,21,1,0,game_bet,3,3,0,22,False,3,c_0,,,,lose,"('lose', 'c_0')"
0,22,1,1,game_bet,5,5,0,20,False,2,c_0,,,,lose,"('lose', 'c_0')"
0,23,1,2,game_bet,2,2,0,35,True,-1,c_4,,,,win,"('win', 'c_4')"
0,24,1,3,game_bet,4,4,0,34,False,-1,c_4,,,,win,"('win', 'c_4')"
0,25,1,0,game_bet,3,3,0,22,False,-1,c_4,,,,win,"('win', 'c_4')"
0,26,1,1,game_bet,5,5,0,20,False,-1,c_4,,,,win,"('win', 'c_4')"
0,27,1,2,game_bet,2,2,0,35,True,5,c_1,,,,win,"('win', 'c_1')"
0,28,1,3,game_bet,4,4,0,34,False,3,c_1,,,,win,"('win', 'c_1')"
0,29,2,0,move_camel,3,8,5,22,False,1,c_2,,,2.0,,
0,30,2,1,round_winner_bet,8,8,0,20,False,-1,c_4,,,,,
0,31,2,2,round_winner_bet,6,6,0,35,True,-1,c_4,,,,,
0,32,2,3,round_winner_bet,5,5,0,34,False,-1,c_1,,,,,
0,33,2,0,move_trap,8,8,0,22,False,0,,-1.0,5.0,,,
0,34,2,1,round_winner_bet,8,8,0,20,False,6,c_4,,,,,
0,35,2,2,round_winner_bet,6,6,0,35,True,-1,c_1,,,,,
0,36,2,3,move_camel,5,6,1,34,False,1,c_1,,,0.0,,
0,37,2,0,move_camel,9,10,1,22,False,1,c_0,,,0.0,,
0,38,2,1,game_bet,8,8,0,20,False,2,c_1,,,,win,"('win', 'c_1')"
