game_id,round_id,action_type,active_player,bet_type,camel,camel_c_0_location,camel_c_0_stack_location,camel_c_0_yet_to_move,camel_c_1_location,camel_c_1_stack_location,camel_c_1_yet_to_move,camel_c_2_location,camel_c_2_stack_location,camel_c_2_yet_to_move,camel_c_3_location,camel_c_3_stack_location,camel_c_3_yet_to_move,camel_c_4_location,camel_c_4_stack_location,camel_c_4_yet_to_move,distance,player_0_coins,player_0_trap_location,player_0_trap_type,player_1_coins,player_2_coins,player_2_trap_location,player_2_trap_type,player_3_coins,trap_location,trap_type
0,0,,,,,2,1,True,0,0,True,2,0,True,0,1,True,0,2,True,,2,,,2,2,,,2,,
0,1,move_trap,0.0,,,2,1,True,0,0,True,2,0,True,0,1,True,0,2,True,,2,10.0,1.0,2,2,,,2,10.0,1.0
0,2,move_camel,1.0,,c_2,4,1,True,0,0,True,4,0,False,0,1,True,0,2,True,2.0,2,10.0,1.0,3,2,,,2,,
0,3,round_winner_bet,2.0,,c_0,4,1,True,0,0,True,4,0,False,0,1,True,0,2,True,,2,10.0,1.0,3,2,,,2,,
0,4,round_winner_bet,3.0,,c_0,4,1,True,0,0,True,4,0,False,0,1,True,0,2,True,,2,10.0,1.0,3,2,,,2,,
0,5,move_trap,0.0,,,4,1,True,0,0,True,4,0,False,0,1,True,0,2,True,,2,12.0,-1.0,3,2,,,2,12.0,-1.0
0,6,move_camel,1.0,,c_4,4,1,True,0,0,True,4,0,False,0,1,True,2,0,False,2.0,2,12.0,-1.0,4,2,,,2,,
0,7,round_winner_bet,2.0,,c_0,4,1,True,0,0,True,4,0,False,0,1,True,2,0,False,,2,12.0,-1.0,4,2,,,2,,
0,8,round_winner_bet,3.0,,c_2,4,1,True,0,0,True,4,0,False,0,1,True,2,0,False,,2,12.0,-1.0,4,2,,,2,,
0,9,move_trap,0.0,,,4,1,True,0,0,True,4,0,False,0,1,True,2,0,False,,2,15.0,1.0,4,2,,,2,15.0,1.0
0,10,move_camel,1.0,,c_3,4,1,True,0,0,True,4,0,False,3,0,False,2,0,False,3.0,2,15.0,1.0,5,2,,,2,,
0,11,round_winner_bet,2.0,,c_2,4,1,True,0,0,True,4,0,False,3,0,False,2,0,False,,2,15.0,1.0,5,2,,,2,,
0,12,round_winner_bet,3.0,,c_2,4,1,True,0,0,True,4,0,False,3,0,False,2,0,False,,2,15.0,1.0,5,2,,,2,,
0,13,move_trap,0.0,,,4,1,True,0,0,True,4,0,False,3,0,False,2,0,False,,2,5.0,-1.0,5,2,,,2,5.0,-1.0
0,14,move_camel,1.0,,c_1,4,1,True,1,0,False,4,0,False,3,0,False,2,0,False,1.0,2,5.0,-1.0,6,2,,,2,,
0,15,game_bet,2.0,win,c_0,4,1,True,1,0,False,4,0,False,3,0,False,2,0,False,,2,5.0,-1.0,6,2,,,2,,
0,16,round_winner_bet,3.0,,c_1,4,1,True,1,0,False,4,0,False,3,0,False,2,0,False,,2,5.0,-1.0,6,2,,,2,,
0,17,move_camel,0.0,,c_0,6,0,True,1,0,True,4,0,True,3,0,True,2,0,True,2.0,3,5.0,-1.0,6,10,,,6,,
0,18,move_camel,1.0,,c_2,6,0,True,1,0,True,7,0,False,3,0,True,2,0,True,3.0,3,5.0,-1.0,7,10,,,6,,
0,19,round_winner_bet,2.0,,c_0,6,0,True,1,0,True,7,0,False,3,0,True,2,0,True,,3,5.0,-1.0,7,10,,,6,,
0,20,round_winner_bet,3.0,,c_0,6,0,True,1,0,True,7,0,False,3,0,True,2,0,True,,3,5.0,-1.0,7,10,,,6,,
0,21,move_trap,0.0,,,6,0,True,1,0,True,7,0,False,3,0,True,2,0,True,,3,4.0,1.0,7,10,,,6,4.0,1.0
0,22,move_camel,1.0,,c_4,6,0,True,1,0,True,7,0,False,3,0,True,3,1,False,1.0,3,4.0,1.0,8,10,,,6,,
0,23,game_bet,2.0,lose,c_1,6,0,True,1,0,True,7,0,False,3,0,True,3,1,False,,3,4.0,1.0,8,10,,,6,,
0,24,round_winner_bet,3.0,,c_0,6,0,True,1,0,True,7,0,False,3,0,True,3,1,False,,3,4.0,1.0,8,10,,,6,,
0,25,move_trap,0.0,,,6,0,True,1,0,True,7,0,False,3,0,True,3,1,False,,3,11.0,-1.0,8,10,,,6,11.0,-1.0
0,26,move_camel,1.0,,c_3,6,0,True,1,0,True,7,0,False,5,0,False,5,1,False,2.0,3,11.0,-1.0,9,10,,,6,,
0,27,round_winner_bet,2.0,,c_2,6,0,True,1,0,True,7,0,False,5,0,False,5,1,False,,3,11.0,-1.0,9,10,,,6,,
0,28,round_winner_bet,3.0,,c_2,6,0,True,1,0,True,7,0,False,5,0,False,5,1,False,,3,11.0,-1.0,9,10,,,6,,
0,29,move_trap,0.0,,,6,0,True,1,0,True,7,0,False,5,0,False,5,1,False,,3,14.0,-1.0,9,10,,,6,14.0,-1.0
0,30,move_camel,1.0,,c_1,6,0,True,4,0,False,7,0,False,5,0,False,5,1,False,3.0,3,14.0,-1.0,10,10,,,6,,
0,31,round_winner_bet,2.0,,c_2,6,0,True,4,0,False,7,0,False,5,0,False,5,1,False,,3,14.0,-1.0,10,10,,,6,,
0,32,round_winner_bet,3.0,,c_1,6,0,True,4,0,False,7,0,False,5,0,False,5,1,False,,3,14.0,-1.0,10,10,,,6,,
0,33,move_trap,0.0,,,6,0,True,4,0,False,7,0,False,5,0,False,5,1,False,,3,10.0,1.0,10,10,,,6,10.0,1.0
0,34,move_camel,1.0,,c_0,7,1,True,4,0,True,7,0,True,5,0,True,5,1,True,1.0,3,10.0,1.0,11,17,,,11,,
